dataset,system,method,llm,weighted,coverage,redundancy
ArgKP21,BarH,Candidates,llama-3.3-70b-instruct,0.8446969696969697,0.8294642857142857,0.12483766233766234
ArgKP21,BarH,Candidates,qwen-2.5-72b-instruct,0.8289702427202429,0.8298214285714286,0.17273212898212897
ArgKP21,BarH,Candidates,qwen3-32b,0.900348124098124,0.9148214285714286,0.12859848484848485
ArgKP21,BarH,KeyPoints,llama-3.3-70b-instruct,0.812337962962963,0.8433333333333333,0.2496527777777778
ArgKP21,BarH,KeyPoints,qwen-2.5-72b-instruct,0.9082010582010582,0.9086309523809524,0.09265873015873015
ArgKP21,BarH,KeyPoints,qwen3-32b,0.9254916225749558,0.9428306878306878,0.10918650793650791
ArgKP21,SMatchToPr,Candidates,llama-3.3-70b-instruct,0.8157228529983948,0.8975595238095239,0.3479504886238633
ArgKP21,SMatchToPr,Candidates,qwen-2.5-72b-instruct,0.8434753550543023,0.8530357142857142,0.17564536340852133
ArgKP21,SMatchToPr,Candidates,qwen3-32b,0.8960340639752404,0.9327579365079366,0.17741368109015168
ArgKP21,SMatchToPr,KeyPoints,llama-3.3-70b-instruct,0.7956437389770724,0.8367195767195769,0.28650793650793654
ArgKP21,SMatchToPr,KeyPoints,qwen-2.5-72b-instruct,0.8989087301587301,0.8914880952380951,0.08625000000000003
ArgKP21,SMatchToPr,KeyPoints,qwen3-32b,0.9199404761904763,0.9239285714285713,0.08803571428571429
ArgKP21,BarH,Candidates,gpt-4o,0.8772740299823633,0.9044642857142856,0.17710648148148148
ArgKP21,BarH,KeyPoints,gpt-4o,0.8593253968253968,0.8127380952380953,0.04749999999999999
ArgKP21,BarH,None,None,0.847989417989418,0.8186507936507937,0.09333333333333337
ArgKP21,SMatchToPr,Candidates,gpt-4o,0.8836363636363638,0.9116666666666665,0.17242424242424245
ArgKP21,SMatchToPr,KeyPoints,gpt-4o,0.8527380952380952,0.8032738095238096,0.048333333333333305
ArgKP21,SMatchToPr,None,None,0.8564219576719578,0.9048214285714287,0.24037698412698413
